VarIdentificadorUsuario,VarNombresUsuario,VarApellidosUsuario,VarCorreoUsuario,VarEstadoUsuario,VarContraseniaUsuario,VarNicknameUsuario,VarGeneroUsuario,NbrTelefonoUsuario
a69bade4-74f4-11ed-8c78-0242ac1c000c,Reina Angélica,Martorell Donoso,reina.martorell@hotmail.com,Inactivo,pEG2#Wcy)3,ignacia71,F,913664110
a69bb186-74f4-11ed-8c78-0242ac1c000c,Juliana Genoveva,Fuentes Villalonga,juliana.fuentes@hotmail.com,Activo,KM1S#Rio&q,castroreyna,F,950404089
a69bb29e-74f4-11ed-8c78-0242ac1c000c,Fernanda Benita,Ledesma Recio,fernanda.ledesma@hotmail.com,Inactivo,5Y_U60HlQ7,jordanmendoza,F,951476242
a69bb384-74f4-11ed-8c78-0242ac1c000c,Luna Ale,Alsina Bilbao,luna.alsina@hotmail.com,Activo,4YP@0JHe^(,zpacheco,F,956559914
a69bb456-74f4-11ed-8c78-0242ac1c000c,Epifanio Claudio,Leiva Costa,epifanio.leiva@hotmail.com,Inactivo,exFUCrh(&2,ale21,M,901952803
a69bb532-74f4-11ed-8c78-0242ac1c000c,Juan Francisco Herberto,Oller Gimenez,juan francisco.oller@hotmail.com,Activo,i_0nnDK^Og,wrevilla,M,936611454
a69bb60e-74f4-11ed-8c78-0242ac1c000c,Mariano Reinaldo,Leon Ureña,mariano.leon@hotmail.com,Activo,Duz4Fff%$$,celestino51,M,917599578
a69bb6cc-74f4-11ed-8c78-0242ac1c000c,Ricardo Luciano,Ayuso Aramburu,ricardo.ayuso@hotmail.com,Activo,)j_3LF+g1M,hsolera,M,983133408
a69bb78a-74f4-11ed-8c78-0242ac1c000c,Zaira Estrella,Colom Carreras,zaira.colom@hotmail.com,Activo,ct@7Fdkw7D,ragudo,F,916568202
a69bb85c-74f4-11ed-8c78-0242ac1c000c,Clara Beatriz,Ordóñez Beltrán,clara.ordóñez@hotmail.com,Inactivo,!udnPKyML3,apariciorosalia,F,923624434
a69bb924-74f4-11ed-8c78-0242ac1c000c,Eric Héctor,Peralta Salamanca,eric.peralta@hotmail.com,Activo,!3WKArU5hm,azucena63,M,908060885
a69bb9ec-74f4-11ed-8c78-0242ac1c000c,Bibiana Paloma,Guzmán Alegre,bibiana.guzmán@hotmail.com,Activo,_78HYgtf2H,juliana67,F,964295824
a69bbaaa-74f4-11ed-8c78-0242ac1c000c,Maximino Onofre,Navarrete Balaguer,maximino.navarrete@hotmail.com,Activo,ao&u4XlX%5,melisa07,M,986925896
a69bbb7c-74f4-11ed-8c78-0242ac1c000c,José Mari Alfonso,Mariño Bermudez,josé mari.mariño@hotmail.com,Activo,g1Mpyvsc^6,nrocamora,M,957023694
a69bbc4e-74f4-11ed-8c78-0242ac1c000c,Valentín Sosimo,Medina Manuel,valentín.medina@hotmail.com,Activo,NA6*zEr+$x,bacosta,M,900508078
a69bbd16-74f4-11ed-8c78-0242ac1c000c,Noé José Ángel,Santamaria Gordillo,noé.santamaria@hotmail.com,Inactivo,3*R28S7jzJ,porcelgoyo,M,925991096
a69bbdd4-74f4-11ed-8c78-0242ac1c000c,Lope Marino,Armengol Cabrero,lope.armengol@hotmail.com,Activo,B*62)w)wcI,roberta62,M,993264502
a69bbe9c-74f4-11ed-8c78-0242ac1c000c,Gertrudis Dafne,Amigó Gallart,gertrudis.amigó@hotmail.com,Inactivo,4%6DU_j_lI,miguel-angelpascual,F,978497397
a69bbf5a-74f4-11ed-8c78-0242ac1c000c,Carlota Noelia,Coloma Mir,carlota.coloma@hotmail.com,Inactivo,X3^P%w8G@X,rosalva23,F,955694339
a69bc022-74f4-11ed-8c78-0242ac1c000c,Hipólito Luís,Báez Manuel,hipólito.báez@hotmail.com,Activo,m7v5QW!w$5,teofilapenas,M,925438632
a69bc0d6-74f4-11ed-8c78-0242ac1c000c,Noa Zaira,Elorza Tomás,noa.elorza@hotmail.com,Inactivo,Q!9AZnv_!Y,curro92,F,922092717
a69bc19e-74f4-11ed-8c78-0242ac1c000c,Olivia Tania,Fabregat Barbero,olivia.fabregat@hotmail.com,Activo,k+&I2Ed89W,kcaro,F,941684551
a69bc252-74f4-11ed-8c78-0242ac1c000c,Ramón Angelino,Becerra Seco,ramón.becerra@hotmail.com,Inactivo,h0Glm1z8*B,kfrancisco,M,971501091
a69bc310-74f4-11ed-8c78-0242ac1c000c,Fabricio José Ángel,Márquez Rueda,fabricio.márquez@hotmail.com,Activo,10vTbxr*%8,campsjose-antonio,M,993147001
a69bc3ce-74f4-11ed-8c78-0242ac1c000c,Saturnina Julia,Diez Llano,saturnina.diez@hotmail.com,Inactivo,9k@a7T4e4k,ballesterdaniela,F,988472412
a69bc496-74f4-11ed-8c78-0242ac1c000c,Jaime Esteban,Arana Prat,jaime.arana@hotmail.com,Inactivo,#9z9m9PzF@,laraherrera,M,943125565
a69bc568-74f4-11ed-8c78-0242ac1c000c,Zacarías Nico,Higueras Castell,zacarías.higueras@hotmail.com,Activo,pE4UUFZp@j,santiagotenorio,M,913535051
a69bc630-74f4-11ed-8c78-0242ac1c000c,Amado Luis Ángel,Solera Moreno,amado.solera@hotmail.com,Inactivo,!*BpOeRL)5,anicolas,M,950137546
a69bc6f8-74f4-11ed-8c78-0242ac1c000c,Nydia Dora,Oliva Esteban,nydia.oliva@hotmail.com,Activo,t3Raj!CU(0,cristianmayoral,F,996144798
a69bc7b6-74f4-11ed-8c78-0242ac1c000c,Ovidio Andrés,Cervera Tudela,ovidio.cervera@hotmail.com,Inactivo,i8T#e)wB^q,fortunataalvarado,M,971649143
a69bc914-74f4-11ed-8c78-0242ac1c000c,Chus Chus,Perelló Royo,chus.perelló@hotmail.com,Inactivo,%T6Zib5G+9,patinoandres-felipe,F,946372853
a69c11a8-74f4-11ed-8c78-0242ac1c000c,Soraya Elvira,España Alemán,soraya.españa@hotmail.com,Inactivo,Cu9TD2a_3@,guiomarcarbonell,F,987736118
a69c1478-74f4-11ed-8c78-0242ac1c000c,Hipólito Sergio,Baños Roig,hipólito.baños@hotmail.com,Activo,DZ87!TJtp&,lupe19,M,951292013
a69c1590-74f4-11ed-8c78-0242ac1c000c,Eloísa Viviana,Prado Luna,eloísa.prado@hotmail.com,Activo,FE1TqRfGi%,wcamara,F,932671385
a69c1676-74f4-11ed-8c78-0242ac1c000c,Griselda Eufemia,Garrido Coll,griselda.garrido@hotmail.com,Inactivo,*gmF*4Lo)9,daragones,F,928007928
a69c2314-74f4-11ed-8c78-0242ac1c000c,Rosaura Berta,Valcárcel Verdejo,rosaura.valcárcel@hotmail.com,Activo,B^H7cCVbdP,bustamantemoises,F,909982395
a69c2440-74f4-11ed-8c78-0242ac1c000c,Ana Sofía Paca,Bonet Campos,ana sofía.bonet@hotmail.com,Inactivo,#Hl8HQmfdb,walterfranco,F,949083057
a69c2512-74f4-11ed-8c78-0242ac1c000c,Carmela Flavia,Riera Salazar,carmela.riera@hotmail.com,Inactivo,I+51cW*qyl,olgaprats,F,976118912
a69c25e4-74f4-11ed-8c78-0242ac1c000c,Reinaldo Francisco Javier,Camino Adadia,reinaldo.camino@hotmail.com,Inactivo,M%!6DQGb5S,ttovar,M,983877896
a69c26b6-74f4-11ed-8c78-0242ac1c000c,Valentín Martin,Olmedo Rebollo,valentín.olmedo@hotmail.com,Inactivo,&93EjsqeNd,preal,M,917641607
a69c277e-74f4-11ed-8c78-0242ac1c000c,Amador Jose Ramón,Duque Peralta,amador.duque@hotmail.com,Activo,2c^6BtpM4X,agapitoguerra,M,942304841
a69c2846-74f4-11ed-8c78-0242ac1c000c,Dorotea María Jesús,Vázquez Casals,dorotea.vázquez@hotmail.com,Activo,a4*6mFSj+9,roxana74,F,974655913
a69c2904-74f4-11ed-8c78-0242ac1c000c,Lisandro Fabián,Viana Frutos,lisandro.viana@hotmail.com,Inactivo,$kv_0NEmOy,manuela78,M,902335381
a69c29cc-74f4-11ed-8c78-0242ac1c000c,Enrique Mateo,Calzada Cervantes,enrique.calzada@hotmail.com,Inactivo,*J2+Ks$qbz,valentin75,M,959757573
a69c2a94-74f4-11ed-8c78-0242ac1c000c,Malena Lidia,Páez Barbero,malena.páez@hotmail.com,Inactivo,^QoGLk0fs3,tbarrena,F,905488912
a69c2b52-74f4-11ed-8c78-0242ac1c000c,Isabela Sonia,Mate Paredes,isabela.mate@hotmail.com,Activo,WaZ1jEpZ+5,escalonajose-francisco,F,919965136
a69c2c06-74f4-11ed-8c78-0242ac1c000c,Patricio Cebrián,Espinosa Sáenz,patricio.espinosa@hotmail.com,Activo,&m4tL^gkRL,juan-antonioportero,M,957838354
a69c2cce-74f4-11ed-8c78-0242ac1c000c,Gil Jose Francisco,Zaragoza Botella,gil.zaragoza@hotmail.com,Inactivo,7w2a2SoVS%,ucervera,M,997021924
a69c2d8c-74f4-11ed-8c78-0242ac1c000c,René Raúl,Rosa Borrego,rené.rosa@hotmail.com,Activo,1(^6IXneGm,wcespedes,M,957510776
a69c2e4a-74f4-11ed-8c78-0242ac1c000c,Agustina Yaiza,Rocamora Calatayud,agustina.rocamora@hotmail.com,Inactivo,d#*78IBq&w,marianela41,F,915934199
a69c2efe-74f4-11ed-8c78-0242ac1c000c,Plácido Juanito,Aguiló Guijarro,plácido.aguiló@hotmail.com,Inactivo,7hHdb3^q^s,romanelvira,M,923176383
a69c3002-74f4-11ed-8c78-0242ac1c000c,Luna Saturnina,Valverde Herrero,luna.valverde@hotmail.com,Activo,e9)VPkcv%S,romancanton,F,960309997
a69c30a2-74f4-11ed-8c78-0242ac1c000c,Macaria Carmela,Perales Almagro,macaria.perales@hotmail.com,Activo,$5B38MBihO,rosa-maria53,F,934164669
a69c314c-74f4-11ed-8c78-0242ac1c000c,Loreto Luisa,Nicolás Valverde,loreto.nicolás@hotmail.com,Activo,(fMnUEHT8W,cecilia67,F,942519808
a69c3200-74f4-11ed-8c78-0242ac1c000c,María Luisa Amanda,Moreno Larrea,maría luisa.moreno@hotmail.com,Activo,Yy3W&ec_8%,uortiz,F,993456999
a69c32be-74f4-11ed-8c78-0242ac1c000c,Lalo Onofre,Sáez Porcel,lalo.sáez@hotmail.com,Activo,!^KpU4YrZL,emilianoabad,M,966130125
a69c3372-74f4-11ed-8c78-0242ac1c000c,Flora Purificación,Marti Maldonado,flora.marti@hotmail.com,Activo,H(M2vDlbu%,wprieto,F,948490696
a69c341c-74f4-11ed-8c78-0242ac1c000c,Desiderio Gilberto,Amor Verdugo,desiderio.amor@hotmail.com,Inactivo,@1IA(wYo93,xavier79,M,904986253
a69c34d0-74f4-11ed-8c78-0242ac1c000c,Federico Lucho,Jove Gascón,federico.jove@hotmail.com,Activo,Qaf2TXZs$J,scarro,M,928471259
a69c3598-74f4-11ed-8c78-0242ac1c000c,Atilio Maxi,Galán Villegas,atilio.galán@hotmail.com,Inactivo,#0KoGFQ$Jw,palautoni,M,989162605
a69c3656-74f4-11ed-8c78-0242ac1c000c,Zaida Jessica,Artigas Montserrat,zaida.artigas@hotmail.com,Activo,u97lY+Or)Q,guillenbienvenida,F,968855998
a69c3714-74f4-11ed-8c78-0242ac1c000c,Evita María,Maestre Ramis,evita.maestre@hotmail.com,Inactivo,+K3Dc1Qs!#,echevarriamaria-del-carmen,F,996945799
a69c37c8-74f4-11ed-8c78-0242ac1c000c,Agapito Arsenio,Raya Contreras,agapito.raya@hotmail.com,Inactivo,!qs9cF8s&Q,manuela65,M,934091256
a69c387c-74f4-11ed-8c78-0242ac1c000c,Renata Fátima,Huerta Burgos,renata.huerta@hotmail.com,Activo,WJ%!%1AwpQ,visitacioncabezas,F,905682478
a69c3944-74f4-11ed-8c78-0242ac1c000c,Haydée Estefanía,Alberola Medina,haydée.alberola@hotmail.com,Activo,i*58VF+mby,scontreras,F,944726733
a69c3a0c-74f4-11ed-8c78-0242ac1c000c,Lidia Isabela,Royo Borrell,lidia.royo@hotmail.com,Inactivo,Qe)x3J5f!r,amorospilar,F,946500230
a69c3ac0-74f4-11ed-8c78-0242ac1c000c,Fabio Calixto,Jáuregui Galiano,fabio.jáuregui@hotmail.com,Inactivo,nUvN3XOy#(,drevilla,M,936984683
a69c3b7e-74f4-11ed-8c78-0242ac1c000c,Belén Clarisa,Fiol Bayón,belén.fiol@hotmail.com,Activo,C7VHSH$Y@g,ceferino57,F,928048599
a69c3c32-74f4-11ed-8c78-0242ac1c000c,Toni Gil,Juliá Nevado,toni.juliá@hotmail.com,Inactivo,%biR@VlE#5,xllorente,M,909958409
a69c3cf0-74f4-11ed-8c78-0242ac1c000c,Celia Gracia,Canet Acuña,celia.canet@hotmail.com,Activo,Y)u5WXqx3P,eportillo,F,910117396
a69c91d2-74f4-11ed-8c78-0242ac1c000c,José Isidoro,Villalobos Sotelo,josé.villalobos@hotmail.com,Inactivo,@7ZcRpoa*o,mtorralba,M,944481442
a69cbdb0-74f4-11ed-8c78-0242ac1c000c,Ámbar Pilar,Ávila Puerta,ámbar.ávila@hotmail.com,Activo,Fce4o9Vjk#,lorena68,F,914726366
a69cbf22-74f4-11ed-8c78-0242ac1c000c,Severiano Roque,Rey Bravo,severiano.rey@hotmail.com,Inactivo,zc3+W8Op#7,serraroxana,M,951969304
a69cc03a-74f4-11ed-8c78-0242ac1c000c,María Del Carmen Zaira,Carbó Ponce,maría del carmen.carbó@hotmail.com,Activo,@^K@0XZxyc,vallejosantos,F,911439387
a69cc120-74f4-11ed-8c78-0242ac1c000c,Adelina Narcisa,Raya Hierro,adelina.raya@hotmail.com,Activo,+p9BIuz@P%,grandebalduino,F,999736380
a69cc1e8-74f4-11ed-8c78-0242ac1c000c,Demetrio Emilio,Bauzà Carmona,demetrio.bauzà@hotmail.com,Activo,*bMSK1s&4J,isidoroabascal,M,994492078
a69cc2a6-74f4-11ed-8c78-0242ac1c000c,Benito Feliciano,Font Farré,benito.font@hotmail.com,Inactivo,fJ!0J7oRX&,pinedotoribio,M,967074698
a69cc378-74f4-11ed-8c78-0242ac1c000c,Valentina Flora,Bernal Carreras,valentina.bernal@hotmail.com,Activo,a8XOm@k)&6,leandrabarcelo,F,906641174
a69cc44a-74f4-11ed-8c78-0242ac1c000c,Jesusa Merche,Borrego Peñalver,jesusa.borrego@hotmail.com,Inactivo,RmtN@icw#3,nhidalgo,F,908098830
a69cc508-74f4-11ed-8c78-0242ac1c000c,Remigio Bautista,Saura Doménech,remigio.saura@hotmail.com,Inactivo,^EcdCnqo&1,roman81,M,971019741
a69cc5d0-74f4-11ed-8c78-0242ac1c000c,Juan Bautista Anselmo,Alegre Cabello,juan bautista.alegre@hotmail.com,Activo,VOEwN)@a%5,alonsocuesta,M,968913654
a69cc698-74f4-11ed-8c78-0242ac1c000c,Isabela Lourdes,Velasco Lledó,isabela.velasco@hotmail.com,Activo,qeTbXkfK+8,felipemorata,F,940533110
a69cc76a-74f4-11ed-8c78-0242ac1c000c,Calixto Ruben,Juan Castelló,calixto.juan@hotmail.com,Activo,+lNw5aj041,ismael25,M,975245710
a69cc828-74f4-11ed-8c78-0242ac1c000c,Íñigo Germán,Lillo Jiménez,íñigo.lillo@hotmail.com,Activo,5c9ALMxW6@,gutierrezcristobal,M,983266742
a69cc8f0-74f4-11ed-8c78-0242ac1c000c,Cándida Jennifer,Vall Heras,cándida.vall@hotmail.com,Inactivo,God!9ZNlZn,vicensasuncion,F,924219155
a69cc9b8-74f4-11ed-8c78-0242ac1c000c,Sabina María Luisa,Valenzuela Larrea,sabina.valenzuela@hotmail.com,Activo,8jU2dYM%V%,claudio15,F,972207621
a69ccac6-74f4-11ed-8c78-0242ac1c000c,Conrado Telmo,Burgos Llopis,conrado.burgos@hotmail.com,Inactivo,0l)50hZgwR,tberrocal,M,922703533
